"Noticia","Tipo","Pagina"
"Ecuador amaneció este martes, 15 de septiembre del 2020, con 642 nuevos contagios confirmados de covid-19 durante las últimas 24 horas hasta las 08:00 de hoy. El informe nacional -divulgado por el Ministerio de Salud Pública (MSP)- registra 119 553 a escala nacional.",0,"El Comercio"
"La segunda veda de cangrejo rojo y azul del año termina este martes 15 de septiembre del 2020 por lo que la captura, comercialización y consumo de este crustáceo estará nuevamente permitido en el país.",0,"El Comercio"
"El Ministerio del Trabajo expidió, este 14 de septiembre del 2020, el Acuerdo Ministerial Nro. MDT-2020-181 con las directrices para regular la aplicación de la modalidad del teletrabajo, conforme lo estableció la Ley Orgánica de Apoyo Humanitario.",0,"El Comercio"
"Durante la nueva etapa de la emergencia sanitaria, en la que ya no rige el estado de excepción en el país, el Municipio de Quito dispuso nuevas medidas de aforo para el sector comercial, productivo y para otros espacios públicos, que rigen desde este lunes 14 de septiembre del 2020.",0,"El Comercio"
"Desde este lunes 14 de septiembre del 2020, las salas de cine en Ecuador seguirán operando bajo las condiciones de seguridad y servicio, que se implementaron desde su reapertura a inicios de julio.",0,"El Comercio"
"Una vez que finalizó el estado de excepción en Ecuador, entre la ciudadanía existen dudas en torno a los trámites presenciales que se pueden realizar en medio de la emergencia sanitaria del coronavirus.",0,"El Comercio"
"Cumplir con el distanciamiento y con otras medidas de bioseguridad, como la de portar mascarilla y desinfectar los equipos e implementos, será vital para reducir el riesgo de contagio por el nuevo coronavirus dentro de gimnasios y otros centros de acondicionamiento, según el deportólogo José Reinhart.",0,"El Comercio"
"La aerolínea estatal Tame informó este lunes 14 de septiembre del 2020 que comenzará a vender sus bienes aeronáuticos, tras haber mantenido reuniones con interesados en la adquisición de estos.",0,"El Comercio"
"En Ecuador se registran 118 911 casos confirmados de covid-19 hasta la mañana de este 14 de septiembre del 2020. 7 138 personas han fallecido por el virus y 3 784 personas han muerto por causas relacionadas con la enfermedad respiratoria, un total de 10 922 muertes, según el informe 200 entregado por el Ministerio de Salud.",0,"El Comercio"
"En agosto de 2020, un total de 78 205 pasajeros volaron dentro de Ecuador y desde y hacia el exterior, de acuerdo con la información publicada este lunes 14 de septiembre de 2020 por la Dirección General de Aviación Civil (DGAC).",0,"El Comercio"
"Aglomeración de personas, fiestas clandestinas, venta de licor e incumplimiento del toque de queda. Esas fueron algunas de las infracciones que se registraron a pocas horas del fin del estado de excepción, a causa de la pandemia por el covid-19.",0,"El Comercio"
"El Consejo Nacional Electoral (CNE) convocará este jueves 17 de septiembre del 2020, en cadena nacional, a elecciones generales, en las cuales 13 099 165 ciudadanos están habilitados para elegir un binomio presidencial, 137 legisladores y cinco miembros del parlamento andino.",0,"El Comercio"
"Entrevista a Verónica Artola, gerenta del Banco Central del Ecuador (BCE)",0,"El Comercio"
"Al igual que otras actividades culturales, los festivales locales de cine se han adaptado a la coyuntura de la pandemia por covid-19 y en los próximos cuatro meses presentarán ediciones en modalidad virtual. Al menos cinco encuentros cinematográficos han anunciado su programación y las fechas de inicio.",0,"El Comercio"
"En los últimos dos días, antes de la terminación del estado de excepción en el país por la emergencia sanitaria del covid-19, Cuenca empieza a recibir a visitantes nacionales. El sábado 12 y domingo 13 de septiembre del 2020, los espacios abiertos registraron más presencia de turistas.",0,"El Comercio"
"En un operativo conjunto organizado por el Municipio de Guayaquil, la Intendencia de Policía del Guayas y la Policía se clausuraron entre la noche del sábado y la madrugada de este domingo 13 de septiembre del 2020 a 15 locales y casas por incumplir medidas de bioseguridad y prohibiciones por la crisis sanitaria.",0,"El Comercio"
"Hasta la mañana de este 13 de septiembre del 2020, Ecuador suma 118 594 casos confirmados de covid-19, 2 143 casos más que el pasado sábado 12 de septiembre cuando se contabilizaban 116 451 casos confirmados.",0,"El Comercio"
"A las 11:50 de este lunes 14 de septiembre del 2020, el presidente Lenín Moreno participará en la emisión del primer pasaporte electrónico de Ecuador. El evento se realizará en las oficinas del Registro Civil, en el norte de Quito.",0,"El Comercio"
"En el espacio público y en centros comerciales continuarán operativos municipales, policiales y militares tras el fin del estado de excepción para prevenir la propagación del covid-19.",0,"El Comercio"
"Después de ocho años de vivir encadenada a un árbol, una mona fue rescatada de un hogar ecuatoriano durante la emergencia sanitaria. Este animal era considerado una mascota en esta vivienda ubicada en Los Bancos, hasta que fue retenida y llevada a una clínica, donde permanece en el área de cuidados intensivos.",0,"El Comercio"
"La crisis sanitaria estaba en el pico más alto de contagio. Las muertes por covid-19 se multiplicaban. En la Fuerza Aérea Ecuatoriana (FAE), la disposición fue que todos los pilotos y técnicos estuvieran operativos y las naves, listas para despegar. Corría marzo, entre órdenes para trasladar a médicos y cargas con insumos, especialmente a Guayaquil.",0,"El Comercio"
"Entrevista a Juan Zapata, director del ECU-911 y miembro del COE nacional",0,"El Comercio"
"Desde el miércoles 16 de septiembre del 2020, el Servicio de Rentas Internas (SRI) cobrará el impuesto al valor agregado (IVA) por el uso de 198 plataformas que ofertan 178 servicios digitales.",0,"El Comercio"
"Los presidentes de Bolivia, Colombia y Ecuador, que integran la Comunidad Andina de Naciones junto con Perú, exhortaron al Congreso peruano a evitar la destitución del presidente Martin Vizcarra en el contexto de emergencia sanitaria por la pandemia.",0,"El Comercio"
"Ecuador sumó 1 719 casos nuevos al registro de contagios confirmados de covid-19 este 12 de septiembre del 2020. Así lo dio a conocer el Gobierno en su informe con corte a las 08:00 que fue difundido por la tarde. En total, 10 864 personas han muerto en el país en el contexto de la emergencia sanitaria.",0,"El Comercio"
"Más herramientas sencillas y económicas, pero cargadas de beneficios, se popularizan a raíz de la pandemia para complementar el entrenamiento dentro de casa.",0,"El Comercio"
"El director del ECU 911 y miembro del Comité de Operaciones de Emergencia (COE) nacional, Juan Zapata, aclaró este 11 de septiembre del 2020 que el estado de excepción en Ecuador estará vigente hasta el domingo 13 de este mes. A partir de lunes 14, en el contexto de la crisis sanitaria, se aplicará vía resolución una matriz que ya fue establecida por el organismo.",0,"El Comercio"
"Ecuador mantendrá el cierre de sus fronteras terrestres y marítimas pese a que este 13 de septiembre del 2020 finalizará el estado de excepción declarado desde marzo por la pandemia, informó el Comité de Operaciones de Emergencia (COE) .",0,"El Comercio"
"La Fundación Cóndor Andino Ecuador mediante un comunicado confirmó este viernes 11 de septiembre del 2020 la muerte del cóndor Iguiñaro. El ave fue rescatada en marzo pasado, en la parroquia El Quinche con un impacto de perdigón en su cuerpo. Su nombre se tomó de la comunidad de Iguiñaro, donde lo encontraron y protegieron hasta la llegada de los rescatistas.",0,"El Comercio"
"Cuando Carmen Guachi detectó que dos de sus alumnos no respondían al envío de tareas se preocupó. La docente labora en Monte Sinaí, una extensa y popular zona del noroeste de Guayaquil.",0,"El Comercio"
"Siete instituciones educativas del Distrito Metropolitano de Quito participan por el premio al mejor cortometraje, en la 8va edición del concurso intercolegial del cine estudiantil ‘Divergente’.",0,"El Comercio"
"Un equipo del Grupo de Operaciones Especiales (GOE), de la Policía Nacional, rescató este viernes, 11 de septiembre del 2020, el cuerpo de un hombre que fue hallado sin vida en las orillas del río Carchi, en el límite entre Ecuador y Colombia.",0,"El Comercio"
"Somos incorregibles. Ni bien el entrenador Gustavo Alfaro se presentó en Quito, aparecieron las cascadas de nombres sugeridos por los ‘entendidos’ para que sean convocados a la Selección. Alfaro claramente lo dijo: llamará a los mejores del momento. Aunque es un buen signo que al menos exista la oferta de aplicar la meritocracia, el problema está en que definir al mejor siempre tendrá un enorme componente subjetivo.",0,"El Comercio"
"El plazo para circular con licencias de conducir caducadas sin recibir multa se ampliará en Ecuador, pese a que el sábado 12 de septiembre del 2020 finaliza el estado de excepción por la pandemia del covid-19.",0,"El Comercio"
"El indicador de riesgo país de Ecuador se ubicó este jueves, 10 de septiembre del 2020, en 952 puntos. Esto representa una reducción de 1 900 puntos en relación a la última jornada.",0,"El Comercio"
