News,Rating
"An image shared on Facebook claims that founding father John Adams once said, “There are two ways to conquer and enslave a nation. One is by sword. The other is by debt.”",False
"An image shared on Facebook claims that actor Bill Murray said, “So, if we lie to the government, it’s a felony. But if they lie to us it’s politics.”",False
"An image shared on Facebook claims writer Ernest Hemingway once stated, “We are all broken — that’s how the light gets in.”",False
"An image shared on Facebook alleges English poet John Dryden once said, “We first make our habits, and then our habits make us.”",False
A Facebook post shared more than 600 times claims that actor Tom Selleck “praised” President Donald Trump in a “meeting” with conservative news website Breitbart.,False
"An image shared on Facebook nearly 800 times appears to show protestors holding a banner that reads, “Assassinate Republicans that defeat Democrats.”",False
"An image shared on Facebook claims that former President George Washington said, “The willingness with which our young people are likely to serve in any war, no matter how justified, shall be directly proportional as to how they perceive the veterans of earlier wars were treated and appreciated by their nation.”",False
"An image shared on Facebook claims that founding father Thomas Jefferson said, “When the people fear the government, there is tyranny. When the government fears the people, there is liberty.”",False
"An image shared on Facebook claims that former first lady Michelle Obama said, “White folks are what’s wrong with America.”",False
"A Facebook post credits Microsoft co-founder Bill Gates with saying, “I choose a lazy person to do a hard job. Because a lazy person will find an easy way to do it.”",False
"An image shared on Facebook claims author Herman Melville once said, “We cannot live only for ourselves. A thousand fibers connect us with our fellow men.”",False
An image shared on Facebook allegedly shows three American soldiers crying over President Donald Trump’s withdrawal of U.S. troops from northeastern Syria.,False
"An image shared on Facebook claims that author Sinclair Lewis once stated, “When fascism comes to America, it will be wrapped in the flag and carrying a cross.”",False
"A Facebook post credits writer Thomas Paine with saying, “Give to every other human being every right that you claim for yourself.”",False
"Conservative youth organization Turning Point USA shared an image on Facebook that claims industrialist Henry Ford once said, “Any man who thinks he can be prosperous by letting the government take care of him, better take a closer look at the American Indian.”",False
An image shared on Facebook claims that The New York Times “labeled” Democratic Hawaii Rep. Tulsi Gabbard a “right-wing extremist.”,False
"CNN and The New York Times jointly held the fourth Democratic presidential debate of the 2020 election cycle Oct. 15 in Ohio. Millions of viewers tuned in to watch the candidates discuss a variety of topics, including reproductive rights, gun violence and jobs.","K: Was Hunter Biden Paid As Much As $50,000 A Month For His Work With Burisma?"
An image shared on Facebook alleges that Poland refuses to allow the construction of mosques until the Central European country can build churches in Saudi Arabia.,False
"An image shared on Facebook more than 6,800 times credits founding father Thomas Jefferson with saying, “By throwing the rascals out from time to time, they will remind government that it exists to serve us – not the other way around.”",False
"Numerous media outlets have reported that Hunter Biden was paid as much as $50,000 a month for his work with the Ukrainian gas company Burisma Holdings.",Unsubstantiated
"An image shared on Facebook claims that author Lewis Carroll once wrote, “You know what the issue is with this world? Everyone wants a magical solution to their problems, and everyone refuses to believe in magic.”",False
"An image shared on Facebook claims that founding father Thomas Jefferson once said, “The beauty of the Second Amendment is that it will not be needed until they try and take it.”",False
"An image shared on Facebook claims that founding father Benjamin Franklin said, “By failing to prepare, you are preparing to fail.”",False
CNN and The New York Times jointly held the fourth Democratic presidential debate Tuesday night in Ohio where 12 candidates covered topics ranging from reproductive rights to jobs.,"“The people of Hong Kong rise up for democracy and don’t get a peep of support from the president,” said South Bend, Indiana, Mayor Pete Buttigieg."
"President Donald Trump claimed Oct. 9 on Twitter that only 25% of Americans support his impeachment. The tweet has garnered more than 100,000 likes.",False
"An image shared on Facebook claims that Mexican drug lord Joaquín “El Chapo” Guzmán testified in court that he gave millions of dollars to House Speaker Nancy Pelosi, House Intelligence Committee Chairman Adam Schiff and former Secretary of State Hillary Clinton.",False
"A post shared on Facebook claims ancient Roman emperor Marcus Aurelius once said, “Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth.”",False
"An image shared on Facebook more than 3,100 times claims that the Federalist Papers contain the statement, “The purpose of the Constitution of the United States is to limit the power of the federal government, not the American people.”",False. 
"Educating Liberals, a conservative Facebook page, shared an image claiming that mainstream media outlets did not cover the story of more than 2,200 fetal remains being found on a deceased abortion doctor’s property.",False
"An image shared on Facebook claims that former President George Washington once said, “When a nation mistrusts its citizens with guns, it’s sending a clear message… It no longer trusts its citizens because such a government has evil plans.”",
An image shared on Facebook more than 500 times purportedly shows the crowd outside the campaign rally that President Donald Trump held Oct. 10 in Minneapolis.,False
"President Donald Trump held a campaign rally Thursday night in Minneapolis, the first since House Speaker Nancy Pelosi announced the launch of a formal impeachment inquiry against him.","“We captured many, many ISIS fighters. Most of them came from Europe. They came from Germany. They came from France. They came from all of these countries.”"
An image shared on Facebook nearly 500 times allegedly shows billionaire George Soros wearing a Nazi military uniform in his youth.,
"An image shared on Facebook claims that founding father Thomas Jefferson said, “The government will one day be corrupt and filled with liars, and the people will flock to the one that tells the truth.”",False
"An image shared on Facebook credits late-night talk show host Jimmy Fallon with saying, “Lindsey Graham is the closest Trump has come to owning a dog.”",False
"A post shared on Facebook claims industrialist Henry Ford once said, “If I had asked people what they wanted, they would have said faster horses.”",False
A Facebook post claims that actress Jane Fonda was denied service at a Montana restaurant run by a Vietnam War veteran.,False
"An image shared on Facebook purportedly shows a tweet from former President Barack Obama that says, “While we’re at it ask Ukraine if they found my birth certificate.”",False
"An image shared on Facebook allegedly shows President Donald Trump’s parents, Fred and Mary, wearing Ku Klux Klan (KKK) robes.",
"An image shared on Facebook claims that French author and political scientist Alexis de Tocqueville once said, “The American Republic will endure until the day Congress discovers that it can bribe the public with the public’s money.”",
"A post shared on Facebook claims that author Charles Dickens once said, “Happiness is a gift and the trick is not to expect it but to delight in it when it comes.”",False
"Democratic New York Rep. Alexandria Ocasio-Cortez tweeted out a video that she said shows a hydraulic fracturing site releasing toxic emissions. The video has been retweeted more than 13,500 times.",
"An image shared on Facebook more than 4,700 times claims that House Minority Leader Kevin McCarthy said, “There are no mass shootings in Japan because there are no video games there.”",False
