News,Rating
"A viral Facebook post shared over 1,000 times claims only 9 percent of the American Rescue Plan “goes to the American people.”",False
"A video shared on Facebook purportedly shows former President Donald Trump making a surprise visit to Switzerland on March 2, 2021.",False
An image shared on Facebook purportedly shows snow blanketing the Great Sphinx in Egypt during the winter of 1910.,False
"An image shared on Facebook claims American astronaut Neil Armstrong’s spacesuit does not match his footprints on the moon, proving that the moon landing was faked.",False
"A post shared on Facebook claims President Joe Biden signed an executive action ending Operation Talon, an Immigration Customs Enforcement (ICE) operation dedicated to deporting sex offenders living illegally in the U.S.",False
A post shared on Facebook purportedly shows a photograph of the woman who posed for the Statue of Liberty.,False
A post shared on Facebook claims the word “homework” spelled backwards translates to “child abuse” in Latin.,False
"An image shared on Facebook purportedly shows a tweet from Klaus Schwab, the founder and executive chairman of the World Economic Forum (WEF), saying the organization is working with the Biden administration to “ensure that most people will survive the coming food shortage.”",False
An image shared on Facebook purportedly shows Queen Elizabeth II and Prince Philip bowing to former Ethiopian Emperor Haile Selassie and former Empress Menen Asfaw.,False
A viral Facebook post shared over 400 times claims Shriners Hospitals for Children patient ambassador Kaleb-Wolf De Melo Torres recently passed away.,False
"A viral Facebook post shared over 1,000 times claims there is an identification check requirement to enter Washington, D.C.",False
An image shared on Facebook claims Coca-Cola has discontinued its Vanilla Coke product in an effort to “fight white supremacy.”,False
"An image shared on Facebook claims former Secretary of State Henry Kissinger said, “Yes, many people will die when the New World Order is established, but it will be a much better world for those who survive.”",False
"A viral Facebook post shared over 1,500 times claims Atlanta Mayor Keisha Lance Bottoms is shutting down the city for the NBA All-Star Game weekend.",False
"An image shared on Facebook claims President Joe Biden dismissed China’s treatment of Uighurs, a minority ethnic group living in China’s Xinjiang region, as part of China’s “different norms.”",False
An image shared on Facebook purportedly shows the “USS Al Gore Global Warming Research Vessel” covered in ice.,False
An image shared on Facebook purportedly shows the online trading platform Robinhood tweeting that “buying some stocks might be limited” due to an “upgrade to our systems.”,False
An image shared on Facebook allegedly shows environmental activist Greta Thunberg eating a meal on a train while children look on from the outside.,False
A viral Facebook post shared over 600 times claims actor Brad Pitt made statements about Hollywood running a pedophile ring.,False
An image shared on Facebook purportedly shows former President Barack Obama wearing a t-shirt with British occultist Aleister Crowley’s face on it.,False
An image shared on Facebook claims to show South African President Cyril Ramaphosa receiving a COVID-19 vaccination with the cap “still on the needle.”,False
An image shared on Facebook purportedly shows a U.S. government statement recommending for U.S. citizens in Uganda to leave the country.,False
A post shared on Facebook claims that fashion company Louis Vuitton “sponsored human zoos” in the late 1800s and early 1900s.,False
A viral Facebook post shared over 400 times claims the 2020-2021 influenza season is the first in history “where no one has died from the flu.”,False
A post shared on Facebook claims to show a photo of the sun that was published by NASA.,False
An image shared on Facebook claims to show comedian Amy Schumer covered in blood and includes a purported quote from her telling people who can’t get an abortion to get rid of the baby once it is born.,False
"A viral Facebook post shared over 2,000 times claims President Joe Biden signed 52 executive orders in one week.",False
"A viral Facebook post shared over 1,100 times claims Pepsi donated $100 million to antifa.",False
An image shared on Facebook purportedly shows former First Lady Michelle Obama at the 2020 Democratic National Convention (DNC) wearing a necklace that spells “MIKE.”,False
"An image shared on Facebook purportedly shows “Earth, Venus and Jupiter as seen from Mars.”",False
An image shared on Facebook purportedly shows an executive order President Joe Biden signed to ban “political humor” directed at his administration.,False
An image shared on Facebook purportedly shows a tweet from Democratic California Rep. Maxine Waters saying “there is no reason for anyone to own a gun” and praising her “armed security detail.”,False
"A video shared on Facebook purportedly shows a large crowd gathered in Madrid, Spain, to protest against COVID-19 restrictions.",False
"A viral Facebook post shared over 900 times claims Coca-Cola CEO James Quincey said, “A few right winged nuts won’t affect our bottom line.”",False
An image shared on Facebook purportedly shows Joe Biden tweeting that he is “proud to see Coca-Cola educate their staff in cultural reappropriation.”,False
An image shared on Facebook purportedly shows a demonstration held in Berlin in support of farmers protesting in India.,False
"An image shared on Facebook claims 16th-century French astrologer Michel de Nostredame, commonly known as Nostradamus, predicted that “a feeble man shall rule the Western World with a jezebel.”",False
An image shared on Facebook purportedly shows large icicles inside a house in Houston on Feb. 18.,False
A lengthy post shared on Facebook claims “Joe Biden’s Dept. of Energy blocked Texas from increasing power ahead of killer storm.”,False
A post shared on Facebook claims President Joe Biden has done nothing to help Texans during the recent winter storm.,False
A post shared on Facebook claims Australian Prime Minister Scott Morrision faked receiving the COVID-19 vaccine.,False
An image shared on Facebook purportedly shows a tweet from President Joe Biden addressing a comment he made during a Feb. 16 CNN town hall event.,False
"An image shared on Facebook claims Republican Texas Sen. Ted Cruz sent a fundraising email blaming “liberal cancel culture” for cutting short his trip to Cancun, Mexico.",False
An image shared on Facebook purportedly shows a large crowd protesting against COVID-19 restrictions in Romania.,False
An image shared on Facebook purportedly shows a homeless encampment in House Speaker Nancy Pelosi’s congressional district.,False
A post shared on Facebook purportedly shows a statement from CPS Energy about the state of the power grid in Texas.,False
"An image shared on Facebook claims House Speaker Nancy Pelosi said in 2019, “You need to vote for the Democrats, otherwise the illegal aliens will lose their rights.”",False
A post shared on Facebook claims the Federal Emergency Management Agency (FEMA) is giving $800 food vouchers to Texans affected by the mid-February winter storm.,False
"A viral Facebook post shared over 1,700 times claims Utah started the petition process to recall Republican Sen. Mitt Romney.",False
"Some journalists and political commentators claimed on Twitter that Donald Trump Jr., the son of former President Donald Trump, said Republican Texas Gov. Greg Abbott is a Democrat.",False
"An image shared on Facebook over 1,000 times claims to show a tweet from Republican Texas Sen. Ted Cruz that reads, “I’ll believe in climate change when Texas freezes over.”",False
An image shared on Facebook claims Disney CEO Bob Chapek is in jail “for abusing 2 little girls.”,False
A viral Facebook post claims televangelist Joel Osteen is not letting homeless Texas residents shelter in his Houston megachurch during the winter storm affecting the state.,False
A Facebook post claims the Federal Emergency Management Agency (FEMA) is “paying for hotel rooms” in Texas and gives a phone number people can allegedly call to arrange their accommodations.,False
"An image shared on Facebook purportedly shows ice-covered boats at a Galveston, Texas, dock in mid-February.",False
"An image shared on Facebook over 2,400 times claims the CEO of Starbucks CEO said, “If you support traditional marriage don’t buy our coffee.”",False
"An image shared on Facebook claims Democratic Texas Rep. Sheila Jackson Lee said, “Hey all you wrinkly, white-aged has-beens: It’s time for you to die and let the next generation have your spot on the planet.”",False
An image shared on Facebook attributes to British Prime Minister Boris Johnson a disparaging comment about Scotland that he allegedly made while giving a speech to the 1922 Committee in 2019.,False
An image shared on Facebook claims “leaked visitor logs” show Democratic California Rep. Adam Schiff visited deceased convicted sex offender Jeffrey Epstein’s private island 78 times.,False
"A post shared on Facebook alleges Vice President Kamala Harris said, “If he’s white, he’s going to be racist.”",False
"An image shared on Facebook over 1,100 times purportedly shows a helicopter spraying a wind turbine in Texas with de-icing chemicals made from fossil fuels on Feb. 15.",False
A post shared on Facebook claims California did not require signature verification for mail-in ballots.,False
"A post shared on Facebook claims to show President Joe Biden signing executive orders with his left hand, proving he has a body double.",False
A photo shared on Facebook purportedly shows House Speaker Nancy Pelosi posing as “Miss Lube Rack 1959.”,False
"A viral Facebook post attributes to Vice President Kamala Harris a quote about veterans and shutting down Department of Veterans Affairs facilities that reads in part, “So here’s a message to the soldier boys. Get a job.”",False
"A viral Facebook post shared over 2,700 times claims Nabisco is closing plants in Georgia and New Jersey and moving to Mexico as a result of President Joe Biden being elected.",False
"An image shared on Facebook claims the fire suppression system at Yale University’s Beinecke Library cuts off all oxygen during a fire, killing “all who are inside in order to protect the rare books.”",False
,False
"A post shared on Facebook claims President Joe Biden “quietly pardoned” 2,617 Black Lives Matter protesters.",False
A post shared on Facebook claims MyPillow CEO Mike Lindell said the Capitol rioters were drugged by “antifa sluts.”,False
An image shared on Facebook claims the Presidential Transition Enhancement Act allows former President Donald Trump to remain in control of the U.S. military for 60 days after the end of his term.,False
"An image shared on Facebook claims Democratic Texas Rep. Sheila Jackson Lee said, “Homicide is the leading cause of murder.”",False
An image shared on Facebook claims President Joe Biden canceled $250 million in funding that former President Donald Trump gave to historically black colleges and universities (HBCUs).,False
"A post shared on Facebook claims the Tampa Bay Buccaneers, the winners of the 2021 Super Bowl, refused an invitation to the White House because the election was “stolen.”",False
An image shared on Facebook purportedly shows a tweet from Gorilla Glue that tells people to “not use our products on your fucking hair.”,False
An image shared on Facebook claims President Joe Biden announced he will “immediately” defund the Department of Veterans Affairs.,False
"An image shared on Facebook attributes to President Joe Biden a quote that reads, “Buy a man eat fish, he day, teach fish man, to a lifetime.”",False
"An image shared on Facebook over 800 times claims energy producer Royal Dutch Shell is laying off 9,000 workers because of President Joe Biden.",False
An image shared on Facebook claims Indian news outlet OpIndia published an article alleging Swedish environmental activist Greta Thunberg is actually a Muslim woman named Ghazala Bhat.,False
