News,Rating
Melania Trump was not invited to a gathering of former first ladies at Camp David,labeled-satire
Tomatoes are officially considered fruits in the U.S,mixture
"On March 2, 2021, U.S. Navy SEALs arrested Hillary Clinton on suspicion of treason",false
The Mid-Atlantic accent originated to adapt to microphones and other available audio and broadcasting technology of the earlier 1900s,unproven
A video genuinely shows a group of drones playing volleyball,false
A viral video shows a 10-meter-long anaconda swimming across a river in Brazil.,false
Eggs shouldn't be refrigerated in the United States,false
U.S. Sen. Krysten Sinema brought cake to the Senate and voted against including a federal minimum wage increase in a $1.9 trillion COVID-19 relief package,mixture
"Around three-quarters of the 379,000 jobs added to the U.S. economy in February 2021 were made up of ""waiters and bartenders.",mostly-true
"On March 4, 2021, U.S. President Joe Biden made the comment that Indian Americans are ""taking over the country.""",mixture
"The original promotional website for the 1996 movie ""Space Jam"" starring Michael Jordan is still up and running",true
A photograph shared to social media showed a parasitic organism that attaches to a fish's tongue and spends the rest of its life as a pseudo tongue while feeding off its host’s blood,true
"Dr. Seuss, children’s book author and illustrator, made a number of cartoons with racist images of Black people — some of whom are in blackface.",true
"Actor Jay Johnston was photographed at the U.S. Capitol riot on Jan. 6, 2021. ",unproven
McDonald's workers in Denmark make $22 an hour and have six weeks of paid vacation,mostly-true
"U.S. President Joe Biden ""erased"" Dr. Seuss from Read Across America Day",mixture
"A video shows a messy version of the ""The Star-Spangled Banner"" that was performed at the 2021 Conservative Political Action Conference (CPAC).",mixture
"The Israeli Ministry of Health said that the COVID-19 vaccine developed by Pfizer has ""killed 40 times more elderly"" people than the virus itself",false
"Singer Dolly Parton said of the use of the word ""Dixie"" in her ""Dixie Stampede"" dinner attraction: When ""you realize that [something] is a problem, you should fix it. Don’t be a dumbass.",correct-attribution
A widely shared meme accurately states that “Trump took down ISIS. Biden took down Dr Suess and Mr Potato Head.”,mostly-false
A TikTok video promotion gives away iPhone 12s for free to random users,scam
"A promotional poster for the Netflix children's show ""Word Party,"" which appeared to some viewers as ""N Word Party,"" was authentic",unproven
"Tesla founder Elon Musk died in a car battery explosion on March 5, 2021",false
"An exotic-looking, orange bird found in England turned out to be just a gull covered in spice",true
The Centers for Disease Control and Prevention (CDC) offers “Zombie Preparedness” education materials,mixture
"On March 2, 2021, U.S. Rep. Marjorie Taylor Greene called the practice of going through metal detectors in the U.S. House a form of voter suppression",correct-attribution
Harpo Marx changed his given name from Adolph to Arthur in order to avoid an association with Adolf Hitler.,false
A mug shot from 1978 shows actor Tim Allen after he was arrested on a cocaine charge,true
Donald Trump was quietly sworn in as president of the United States under a sovereign law,labeled-satire
U.S. Department of Agriculture Secretary Tom Vilsack is vegan. ,false
"The For the People Act of 2021, also known as U.S. H.R.1, would ensure ""that millions of illegal immigrants are quickly registered to vote"" by forcing states to adopt universal mail-in ballots, early voting, same-day voter registration, online voter registration, and automatic voter registration",false
"Robin Williams acted in movies with his daughter, Mara Wilson",mixture
A video shows an F-18 Super Hornet breaking the sound barrier and creating a sonic boom,false
The claims penned by evangelist Franklin Graham in open letter about the proposed U.S. Equality Act in February 2021 were correct,mixture
A photograph shows a pizza topped with Froot Loops at a restaurant in Iowa.,true
Giveaways on the Las Vegas Travel and Las Vegas Vacations Facebook pages are legitimate,scam
Meghan Markle and Prince Harry’s children are eligible to run for president of the United States.,mixture
"Tim Allen said that he ""kind of liked"" that former U.S. President Donald Trump ""pissed people off.",correct-attribution
"A 14-night ""Bora Bora Getaway"" circulating on Facebook in early 2021 is legitimate",scam
A video shows a cockroach producing musical tones on a guitar,true
A new technology known as “anti-solar panels” could one day produce energy at night from deep space in much the same way that solar panels operate during the day,mixture
"In February 2021, former U.S. President Donald Trump launched a 2024 presidential campaign",false
"Boston Public Schools administrators suspended Advanced Work Classes, a selective program for high-performing students, because of concerns over racial inequities as the majority of the students enrolled were white or Asian",mostly-false
"""Little Suck-a-Thumb,"" a story about a ""great tall tailor"" who cuts off little kids' thumbs, is from a real German children's book",true
"Under the leadership of U.S. Secretary of Defense Lloyd Austin in 2021, the department approved military contracts for a company Austin contemporaneously owned stocks in.",false
A picture shows a train on an airport runway with an airplane nearby,true
Amazon issued an update to a logo released in early 2021 after social media users compared the design to Adolf Hitler's mustache,mostly-true
"A Feb. 18, 2021, widely shared video authentically shows heavy snowfall in the Arabian Desert",true
Tom Selleck is a spokesperson for CBD oil products,false
The Chinese government has conducted human testing on its soldiers with hopes of genetically enhancing them,unproven
Former U.S. President Donald Trump received the COVID-19 vaccine before he left office in January 2021.,unproven
COVID-19 mRNA vaccines will become deadly a few months after administration because the antibodies they create have been shown to cause deadly immune reactions resulting in damage to the lungs.,false
"In 2021, Fisher-Price sold a toy remote-working kit for toddlers called ""My Home Office.",true
Lamar Fudge was a Black writer who traveled around the South post-segregation critiquing formerly whites-only eateries,labeled-satire
Pictures shows evangelical leaders praying for and a man bowing to a gold-colored statue of former U.S. President Donald Trump,mixture
"A Christian pastor said Pokemon taught children how to ""enter into the world of witchcraft.",correct-attribution
"President Donald Trump will regain the presidency on March 4, 2021",false
Football player J.J. Watt used his Peloton profile to break news about his NFL future.,false
"Walmart is closing ""every store"" this year.",false
GM announced plans to stop making gasoline-powered vehicles by 2035.,mostly-true
"A Virginia school system ""canceled"" Dr. Seuss for being racist",mostly-false
A photograph shows a snake after it swallowed an AK-47.,miscaptioned
Bill Maher and Megyn Kelly argued that 8- and 9-year-olds shouldn't be burdened with race issues.,mixture
"Roger Stone filmed a rap ""music video"" during the CPAC 2021 conference.",true
"In January 2021, scientists discovered that the exceptionally rectangular droppings of wombats are the result of an uniquely evolved gastrointestinal system and not a cube-shaped anus as was previously proposed. ",true
Dr. Phil's divorce settlement has finally been revealed as $1 million,false
A photograph captured by the Perseverance Mars rover in February 2021 showed the Milky Way from the surface of the red planet.,miscaptioned
Former U.S. President Donald Trump's tax return documents revealed that he claimed U.S. Sen. Ted Cruz as a dependent.,labeled-satire
"The stage at CPAC 2021 was intentionally designed to look like an early European rune, which has also been used as a Nazi symbol",mixture
Australia’s oldest man knits tiny sweaters for injured penguins,outdated
U.S. Rep. Marjorie Taylor Greene is pushing an anti-witchcraft bill that would create a Department of Anti-Witchcraft (DAW),labeled-satire
Panasonic created a farting cat robot,mixture
Emma Watson announced she was retiring from acting in February 2021,false
"The official Twitter account for Oreo cookies tweeted, ""Eat the rich with a side of Oreos.",false
