text,time,image_url,likes,comments,shares
"Fuentes cercanas al presidente han manifestado que Lenin Moreno está con ""tremenda churreta"" desde ayer, por pegarse una ""fundota de cevichochos"", aunque él lo niega rotundamente y afirma que todo ""ES CULPA DE CORREA"" como siempre; motivo por el cual hoy ha suspendido su agenda de no hacer nada, para quedarse en casa ""SIN HACER NADA"". Noticia en desarrollo 😂  #ElPeorGobiernoDeLaHistoria #LeninValesVrg #LeninMoreno #fakenews #esmentiraveran #carasdevrg",1619643046.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/179153179_2916936788627588_1702223591675559724_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=8024bb&_nc_ohc=up0Z8BhYhuMAX91T8xt&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=eb377bc8d416a649a25dc34d794b09a9&oe=60B0534B,21,7,0
"Esta mañana el presidente electo Guillermo Lasso a dado a conocer el nombramiento de Lenin Moreno como su nuevo ""Super Ministro del Buen Vivir"", decisión que tomó por la amplia experiencia demostrada que posee Moreno en ""NO HACER NADA y VIVIR DEL CUENTO"" por lo que es el idóneo para la popular cartera de estado. Noticia en desarrollo 😂  #ElPeorGobiernoDeLaHistoria #LassoEsMoreno #noseofenderan #Fakenews #noesverdadok #carasdevrg",1619634202.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/170641110_2916866475301286_5946971236306897229_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=8024bb&_nc_ohc=hW6w0r_gNHsAX_hNsXw&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=e657b9a6476d46894846264c37c6c9d7&oe=60B1CD49,16,7,0
"El presidente de la república se hace ""la estrecha"" y mantiene al país el vilo con más medidas recomendadas por el COE nacional, pendientes todos en las próximas horas. Noticia en desarrollo 😂👍",1619037436.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/176435209_2911475819173685_3425792884447424871_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=110474&_nc_ohc=El5TudXe71gAX_zKNwB&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=b4a458b169a19df81d92fd6d93dcd992&oe=60B2B80A,16,0,0
"El todavía presidente de la república, Lenín Moreno; ha manifestado en una entrevista reciente, ""que se arrepiente"" profundamente haber aceptado ser presidente, y de haber servido GRATIS durante estos 4 años al Ecuador, que todos los ecuatorianos son una ""bola de indios mal agradecidos"" y que valen ""harta vrga"", así nomas. Noticia en desarrollo 🤣🤣  #fakenews #ElPeorGobiernoDeLaHistoria #leninvalesvrg #bromanomases #noseofenderan",1618516380.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/173693695_2907000132954587_4374937393861377815_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=8024bb&_nc_ohc=TVzIlq87334AX_nu9CS&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=ee4cae855783e77df6286b2d098f81d0&oe=60B17F71,22,28,0
"Seguimos con las felicitaciones en éste día, en esta ocasión para unos verdaderos ""MAESTROS"", maestros para un buen trago y para una moza, no hay quién les gane. Felicidades en su día mijines. 🤣🤣  #fakenews #diadelmaestro #chapasmaestros #bromanomases",1618335119.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/173923201_2905452646442669_2380801727631753911_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=8024bb&_nc_ohc=Ht_pFsud5XoAX_-597I&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=9e13b90601baead0d9533db35ea084e8&oe=60B19A56,25,6,0
"Hoy 13 de abril celebramos el día del ""MAESTRO"" ecuatoriano, FELIZ DIA queridos ""maestros"" para un trago, para una moza, para un encebollado y para un pan con cola 👏😃😃",1618326709.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/173202738_2905358409785426_7297078053189003414_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=110474&_nc_ohc=7rHlksFdovoAX89a5Zo&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=3843db1c7de7a151e65f1456aabed9aa&oe=60B07D31,9,0,0
"Lenín Moreno ha expresado su verdadera preocupación para el cambio de mando con Guillermo Lasso el próximo 24 de Mayo, aunque dijo sentirse ""felishhh"" como una lombriz de saber que su gran amigo y pupilo continuará con su legado a favor de los ecuatorianos, aunque duda que pueda superarlo. Noticia en desarrollo 🤣  #YaTenemosPresidente #LassoEsMoreno #buenoquemastoca #Lassoparateduro #fakenews",1618284910.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/172870694_2904999176488016_2486795773187118004_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=8024bb&_nc_ohc=_hp72nZbdmgAX_IlVpJ&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=dbbdce3eae560e18493c4aa849899727&oe=60AF2E5D,13,7,0
"Elecciones 2021 - A esta hora Guillermo Lasso ya ha ejercido sus derecho al voto, pero OH SORPRESA 🤔 Noticia en desarrollo",1618159032.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/172578461_2903888346599099_4424761576649230377_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=110474&_nc_ohc=yTe9MMGTu1QAX8aMV-X&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=5a64d7b1f98b9242e20155218921d0d1&oe=60B19530,6,3,0
"A tan solo 24 horas de las elecciones presidenciales, el disque periodista ""Luis E. Vifanco"" alias ""el pautas"" se le vira al banquero y se decanta por la lista ""correista"", incluso ha actualizado su foto de perfil en Facebook con este motivo, ha dicho que entre un ""banquero ladron"" y un ""lelo maricóm"" se decanta por el segundo, porque se identifica más sobre todo con lo de ""maricóm"". Noticia en subdesarrollo 😅  #fakenews #elecciones2021 #elpautas #esmentiraoiran",1618058341.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/171541618_2902919810029286_671179354047904101_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=110474&_nc_ohc=oXuf77zCpRQAX8JS_Bf&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=fd95dc9e777002dde42f78e72504c119&oe=60B266DE,26,0,0
"A tan solo 48 horas de las elecciones en Encuador, el presidente Lemin Moredo ha declarado públicamente su apoyo a la candidatura de Guillermo Lasso, incluso ha actualizado su foto de perfil con el lema ""El Domingo yo voto por Lasso""; añadiendo que es el candidato idóneo para continuar con su modelo de gobierno que tantas alegrías le ha dado al Ecuador. Noticia en desarrollo  #lassoesmoreno #elecciones2021 #bromanomases #fakenews",1617977008.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/170817949_2902213440099923_3409425875954876302_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=110474&_nc_ohc=m0CdhStiCm0AX_QkCUt&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=1c8ed83b5bcd0a70bedfaa2d0b4dd3f6&oe=60AF8F0F,15,35,0
