text,time,image_url,likes,comments,shares
"El ex candidato a la Presidencia Andrés Arauz, hizo un llamado a la sensibilidad del Presidente electo Guillermo Lasso, para que interceda por él y lo reincorporen a su puesto de trabajo en el Banco Central. ""Yo pensé que iba a ganar, eso me dijo Correa, pero ahora que perdí necesito tener un trabajo para sostener a mi familia"" aseguró Arauz.",1618979568.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/176535939_801405364147869_6723759539836385157_n.png?_nc_cat=104&ccb=1-3&_nc_sid=8024bb&_nc_ohc=_aCb2N5l5XoAX97PFCd&_nc_ht=scontent.fuio23-1.fna&oh=eccae066b081c2eb57a31277aaf5cca2&oe=60B23CC7,80,114,0
"Este 11 de abril mas allá del destino del país, el Ecuador decidirá entre la publicación del famoso ""pack"" de Erika Velez, o el de la Asambleista María José Carrión.
¿Tu por cuál decides?",1617937650.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/170976559_793755741579498_5675131943566191090_n.png?_nc_cat=102&ccb=1-3&_nc_sid=8024bb&_nc_ohc=NEXdyKa_TmIAX_PcIDV&_nc_ht=scontent.fuio23-1.fna&oh=89eca7610979a4557248ffb00ef5d1dd&oe=60B0DE1D,61,23,0
"El candidato Andrés Arauz, hace gala de sus dotes de cantante en el #CarPool de Logan 🎶",1617892835.0,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/tlBBJvkvBea.png,37,61,0
El Ecuador y el mundo te lo van a agradecer 🗳🇪🇨,1617845442.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/170403921_793081218313617_2310873829590749019_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=110474&_nc_ohc=79nN7VXWXQgAX840ADT&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=6a14b6ab1f7c13fadc1e1e44524f2de6&oe=60B07762,330,64,0
"Con nuestros impuestos, y dejando abandonado su puesto en el Banco Centrql. el candidato Andrés Arauz realizó sus estudios en una de las universidades más caras de los Estados Unidos. Una beca entregada por su amigo René Ramírez.",1617843805.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/171149266_793066051648467_5811435755919024713_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=110474&_nc_ohc=_df6nHYXDaAAX-ohmv5&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=3620afd1be70b587bdb37ff3384ef81f&oe=60AFC51E,93,51,0
"¡Qué suerte!
Andrés Arauz entregó a su dueña el perrito por el que se ofrecía una jugosa recompensa de $1000 en las calles de Guayaquil. Según Andres lo encontró por casualidad y lo utilizo para hacer algunos videos de tiktok. Ahora Lukas está nuevamente con sus dueñas.",1617800337.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/170785523_792698961685176_1390652354446640127_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=110474&_nc_ohc=0O36mwMmVNEAX9sqMnV&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=58a56d68d910203c5ff795a47b3eebfc&oe=60AF5552,225,157,0
"Una fotografía filtrada de la celebración de los 58 años del ex mandatario, causó conmoción en las redes sociales, esto al vérselo muy emocionado soplando un cupcake con una forma muy peculiar. Según entendido luego de los 50 años es una tradición soplar la belga, una torta realizada con diferentes tipos de licores y masa madre.",1617773040.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/170202617_792508868370852_5432614175321365922_n.png?_nc_cat=102&ccb=1-3&_nc_sid=8024bb&_nc_ohc=kVKKeqC2pGIAX-TYSR5&_nc_ht=scontent.fuio23-1.fna&oh=b32c30e197810f53fdc4c15472880a2e&oe=60B08A93,410,455,0
"El ex líder indígena, Jaime Vargas denunció la perdida de su preciado sombrero de plumas, ícono de su cultura y raíces amazónicas. Pero pocos días después del robo, las redes sociales se inundaron de críticas al ver al candidato Andrés Arauz vistiendo unas plumas similares a las que fueron sustraídas a Jaime Vargas.",1617767897.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/170359419_792467085041697_4835554818209653680_n.png?_nc_cat=100&ccb=1-3&_nc_sid=8024bb&_nc_ohc=P_JikhTL76YAX9Kj6FJ&_nc_ht=scontent.fuio23-1.fna&oh=033d7e79853807ccb1cdd1a936c1dc0e&oe=60B1858C,73,34,0
"En medio de un evento mediático, la consejera del CNE, Diana Atamaín y el Burgomaestre de la capital Jorge Yunda sellaron la alianza con el candidato presidencial Andrés Arauz.",1617743888.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/170083969_792313958390343_9189151072075497798_n.png?_nc_cat=109&ccb=1-3&_nc_sid=8024bb&_nc_ohc=t-UIkQLT9awAX-vvnON&_nc_ht=scontent.fuio23-1.fna&oh=23ec76b6b13219f7400220a704b84811&oe=60B161F0,49,39,0
RIP Cepillín 🙏,1615228535.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/159096354_774162643538808_150762657524141025_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=110474&_nc_ohc=LaTtIdRZW_kAX__G_Oa&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=fb755fd2f4f00fd4780c98be6a73739f&oe=60AF7933,54,14,0
"El candidato por la Lista 1, Andrés Arauz fue el único de los presidenciables en acoger la recomendación del Ministerio de Salud para ser vacunados como personal de primera línea. el resto de candidatos rechazaron rotundamente este ofrecimiento.",1613688923.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/152064451_763192471302492_3501198078929127119_n.png?_nc_cat=107&ccb=1-3&_nc_sid=8024bb&_nc_ohc=lidXo1lucgoAX_4xo81&_nc_ht=scontent.fuio23-1.fna&oh=545a75ec43a7c804feb8caaafcd755fe&oe=60B290DF,49,39,0
"El alcalde Jorge Yunda sorprendió la tarde de este jueves en las canchas de ecuavoley al mostrar sin ningún problema el aparato electrónico que le pusieron por la compra de pruebas PCR con sobreprecio. ""Esta cosa estorba un poco, pero no me impedirá seguir trabajando por la ciudad"" aclaró el alcalde.",1613688508.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/151946238_763188924636180_6892462621116168689_n.png?_nc_cat=110&ccb=1-3&_nc_sid=8024bb&_nc_ohc=QnWkpuiXpwMAX8t8A6s&_nc_ht=scontent.fuio23-1.fna&oh=027a5920a535ea8c099a488c6eeea4e6&oe=60AFE4C3,154,48,0
"Guillermo Lasso no logró contener las lágrimas, al hablar de su caída en las encuestas. Dijo ""yo he gastado mucho dinero y mucho tiempo en esta campaña, me resisto a aceptar que estoy 4to"". Mientras sus ojos se cristalizaron y le salieron las lágrimas en vivo.",1612480344.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/145934957_754820108806395_2699132665098280304_n.png?_nc_cat=104&ccb=1-3&_nc_sid=8024bb&_nc_ohc=9tOByxln0eIAX-RFy6g&_nc_ht=scontent.fuio23-1.fna&oh=583af9f13e5b797b052a7eadb4e1c864&oe=60B0B9AD,163,207,0
"#RIPSCREECH
A los 44 años murió este lunes 1 de febrero el actor Dustin Diamond, quien fue conocido como Screech, personaje de 'Salvados por la campana'.",1612231506.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/145284903_753125815642491_7283925649366579076_n.png?_nc_cat=100&ccb=1-3&_nc_sid=8024bb&_nc_ohc=ruYtmrQxjPgAX_Ge0jw&_nc_ht=scontent.fuio23-1.fna&oh=0fb9d2eaa6495a9ca05d3dc2ad9bcbfc&oe=60AEDD6B,31,2,0
"Una nueva polémica salpica al Ministro de Salud, esta vez por haber utilizado una vacuna en su mascota ""Pichirilo"", ya que según asegura, el perro siempre lame sus zapatos y muerde sus cordones al llegar a la casa, y esto puede ser motivo para que propague el coronavirus en la familia. La segunda dosis se le aplicará en 2 meses.",1611946133.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/142116061_751232595831813_7652517977328137946_n.png?_nc_cat=101&ccb=1-3&_nc_sid=8024bb&_nc_ohc=GywTx0uyaQAAX-nKzyy&_nc_ht=scontent.fuio23-1.fna&oh=afbd4ca2639b71084d5a24e97a6261d2&oe=60B1A1E0,66,50,0
"En medio de una gestión llena de sobreprecios, corrupción y falta de obras, el alcalde Yunda dio positivo en la prueba de Coronavirus.",1603771447.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/122888398_684878792467194_6564955216565590485_n.png?_nc_cat=103&ccb=1-3&_nc_sid=8024bb&_nc_ohc=Ft7KfJmPiNAAX_QBMl8&_nc_ht=scontent.fuio23-1.fna&oh=ae97704db8d95fd130de6bbea73b79f0&oe=60B0D8B4,103,7,0
"Un nuevo escándalo sacude a la alcaldía de Quito, esta vez al confirmarse que la secretaria de despacho del alcalde Yunda también dio positivo en la prueba PCR. Lo polémico es que ella lo acompañará para hacer aislamiento en su casa, según el alcalde para igualarse en temas laborales.",1603770755.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/122893036_684871972467876_5465667242686209270_n.png?_nc_cat=109&ccb=1-3&_nc_sid=8024bb&_nc_ohc=t-lCGtjhAxYAX9LqxrI&_nc_ht=scontent.fuio23-1.fna&oh=f09f76d6bfb4c5802fd0d7bf13df36eb&oe=60B098D0,57,14,0
"Un gran problema se ha suscitado en la Fiscalía General del Estado, la no encontrar un grillete de la talla para Jacobito, esto a obligado a la policía a tomar medidas urgentes, las mismas que consisten en colocarle un ula ula con gps. Por su parte Abadalá Bucarám ha reclamado por este nuevo atropello ante su primer hijo y dijo que demandará al Ecuador ante la CIDH.",1601234656.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/120130049_661168931504847_1004756989131622875_n.png?_nc_cat=103&ccb=1-3&_nc_sid=8024bb&_nc_ohc=fb1iEJiS2FgAX_pS7Pb&_nc_ht=scontent.fuio23-1.fna&oh=e3facb4beb5e39d4786f8e4f166f4da9&oe=60B01657,139,21,0
"Una grata sorpresa se llevó el ex Vicepresidente Jorge Glas, al ver ingresar el viernes a su mismo pabellón a Alexis Mera, y el día de ayer a Jacobo Bucarám. Ellos han resuelto unir fuerzas y dirigir desde la cárcel, la nueva sede de la Alianza UNES (ex Alianza País).",1601234011.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/120200341_661162234838850_7231002659758075998_n.png?_nc_cat=107&ccb=1-3&_nc_sid=8024bb&_nc_ohc=ec-zEtF1jxcAX8CQZy2&_nc_ht=scontent.fuio23-1.fna&oh=425f2f02be85c0f59a4e6f076a15c53b&oe=60B00426,118,22,0
"Christian Cruz, el cuestionado consejero del CPCCS, anunció que realizará el Casting para la Tercera Temporada de la famosa serie de Netflix #CobraKAI. Cruz asegura que si la Asamblea Nacional lo destituye por su uso fraudulento del carnet de discapacidad, él probará suerte en el cine y la televisión, demostrando su habilidades en las artes marciales a pesar del 81% de discapacidad.",1601233622.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/120092435_661157374839336_110405021245543864_n.png?_nc_cat=110&ccb=1-3&_nc_sid=8024bb&_nc_ohc=TEjkAqFAr60AX-9HBTu&_nc_ht=scontent.fuio23-1.fna&oh=1f60345e36bf63ef790cb917a598f9c0&oe=60B11660,80,28,0
"#URGENTE
Primeras imágenes de Jacobo Bucarám ingresando a la cárcel de #Latacunga.",1601175088.0,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/tlBBJvkvBea.png,108,17,0
"La asambleísta Marcela Aguiñaga pidió esta mañana tratar una polémica resolución, en la cual solicita al ejecutivo no grabar con IVA a las plataformas de entretenimiento para adultos. Según la legisladora los ecuatorianos lo que mas necesitan en estos momentos de pandemia es la sana diversión y no que me metan la mano en sus bolsillos.",1600140272.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/119595689_650969072524833_2252646648276081385_n.png?_nc_cat=103&ccb=1-3&_nc_sid=8024bb&_nc_ohc=W1Z-eAEg5wEAX9LiUYv&_nc_ht=scontent.fuio23-1.fna&oh=359ea5fa62064be156c1e787d87d6770&oe=60B0EFA6,67,21,0
